StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1_1,Q2_1,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14_1,Q15,Q16,Q20_1,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 08:22:07,2023-03-23 08:26:09,0,100,241,1,2023-03-23 08:26:09,R_33lHjDMfpPH4ZZh,,,,,33.513,-86.7372,anonymous,EN,1,70,13,1,1,1,2,5,5,3,2,1,4,4,7,5,1,7,5,5,1,1,5,2,2,4,5,5,3,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 08:37:00,2023-03-23 08:39:53,0,100,173,1,2023-03-23 08:39:54,R_Q3xJv9fzfdN3bA5,,,,,36.1671,-86.7861,anonymous,EN,1,100,14,1,1,2,1,2,4,4,5,2,5,4,4,4,1,2,1,2,4,4,5,4,5,5,2,5,3,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 08:36:46,2023-03-23 08:44:51,0,100,485,1,2023-03-23 08:44:52,R_1NxfRA90AY3xMIM,,,,,39.9357,-75.1832,anonymous,EN,1,53,23,2,1,1,1,5,3,1,5,2,5,1,10,4,1,10,5,5,1,1,5,2,5,5,5,3,1,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 08:41:48,2023-03-23 08:45:27,0,100,219,1,2023-03-23 08:45:28,R_3MLI0WgEobU7Ypn,,,,,28.6344,-81.6221,anonymous,EN,0.8999999761581420,100,25,3,3,1,1,5,4,2,5,3,4,1,10,4,1,10,5,5,1,1,5,1,1,4,2,5,2,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 08:42:29,2023-03-23 08:45:39,0,100,190,1,2023-03-23 08:45:40,R_1PbkOV3Z770YnQC,,,,,32.7797,-96.8022,anonymous,EN,0.8999999761581420,88,17,2,2,1,1,5,5,3,3,1,5,3,6,4,1,0,2,5,1,1,5,2,3,5,5,2,4,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 08:40:25,2023-03-23 08:47:23,0,100,417,1,2023-03-23 08:47:23,R_24D8Ce2vYOinJAj,,,,,39.9597,-75.1995,anonymous,EN,1,89,9,1,2,1,2,5,3,2,5,3,4,1,3,4,1,2,5,3,2,2,5,2,5,5,3,5,3,5,"There's no formal guarantee that programs have finalized rank lists since the due date is the same for both applicants and programs. If programs were forced to submit rank lists earlier and have them finalized, it would make post-interview communication much more streamlined."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 08:42:39,2023-03-23 08:47:51,0,100,312,1,2023-03-23 08:47:52,R_217A7lWHHssbcag,,,,,39.9597,-75.1995,anonymous,EN,1,100,20,1,2,2,1,4,5,1,5,2,3,5,5,5,1,5,4,5,2,2,5,1,3,5,4,5,3,4,"I think programs should avoid ""rank to match"" phone calls/emails, etc. because some programs are not entirely truthful. I had received a RTM call with language implying I was at the top of a program's list and ranked them number 1 and did not match there. The whole process of post-interview communication needs to be standardized with strict guidelines because too many programs do too many different things and it makes decision making even harder during the toughest time of our medical career."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 08:47:10,2023-03-23 08:49:43,0,100,152,1,2023-03-23 08:49:43,R_30pICs0sgf9sI95,,,,,29.9353,-90.074,anonymous,EN,1,93,11,2,1,1,2,5,5,2,5,3,5,1,4,5,1,4,5,5,1,1,5,5,3,5,5,5,3,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 08:41:56,2023-03-23 08:50:45,0,100,529,1,2023-03-23 08:50:46,R_2aLjM6KqOKF8zOA,,,,,38.0152,-84.4894,anonymous,EN,0.800000011920929,50,8,2,2,2,1,4,4,3,5,3,4,2,3,4,1,4,2,2,4,2,3,2,5,4,4,5,3,5,"A set of standardized definitions for post-interview communication, especially what constitutes “rank to match” communication, would reduce stress associated with communication "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 08:47:51,2023-03-23 08:51:03,0,100,192,1,2023-03-23 08:51:04,R_z7iikNpcJhBwWBP,,,,,40.7428,-73.9712,anonymous,EN,0.8999999761581420,100,13,1,1,1,1,5,5,3,4,1,3,4,4,5,1,4,4,4,2,2,4,3,4,2,4,3,3,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 08:48:35,2023-03-23 08:51:41,0,100,185,1,2023-03-23 08:51:41,R_1CgtauBiGyepyIH,,,,,42.3562,-71.0631,anonymous,EN,0.8999999761581420,85,14,2,2,1,2,5,5,5,5,1,5,1,9,4,1,2,5,5,1,1,5,2,5,,,,3,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 08:55:12,2023-03-23 09:03:38,0,100,506,1,2023-03-23 09:03:39,R_2D8fuCt9sdx7YM0,,,,,43.0158,-85.6331,anonymous,EN,1,78,20,2,2,2,1,4,4,4,2,1,2,4,10,5,1,2,2,2,3,2,4,1,5,4,4,4,3,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 09:03:54,2023-03-23 09:07:19,0,100,204,1,2023-03-23 09:07:19,R_1ptW2g7KQX6YsRA,,,,,43.5376,-96.6818,anonymous,EN,0.8999999761581420,95,13,1,2,1,2,3,4,5,2,3,1,2,5,4,2,0,2,4,2,2,3,1,5,5,5,2,2,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 09:13:32,2023-03-23 09:18:04,0,100,272,1,2023-03-23 09:18:05,R_3JaAzaV7N6wRVqa,,,,,45.5334,12.6434,anonymous,EN,0.8999999761581420,50,19,3,2,1,1,5,3,3,2,2,4,4,3,2,1,1,4,4,2,2,4,1,5,3,4,4,3,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 09:21:48,2023-03-23 09:24:45,0,100,176,1,2023-03-23 09:24:45,R_3g7d96URrI4jfJN,,,,,33.3874,-112.0998,anonymous,EN,1,69,26,3,2,1,2,5,4,1,2,2,5,3,10,4,1,10,5,5,2,2,5,2,2,4,4,5,1,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 09:20:48,2023-03-23 09:27:36,0,100,408,1,2023-03-23 09:27:37,R_27sccv9x7qJKuTm,,,,,32.7889,-96.8021,anonymous,EN,0.8999999761581420,80,25,3,2,1,2,5,5,5,5,1,5,1,6,5,1,3,5,5,1,1,5,5,5,5,5,5,3,5,"Thanks for doing this study. The TRUTH is that lots of PDs and Chairs talk a big game about honesty and integrity but make match violations left and right. I had a PD during an interview tell me I’ll be ranked to match IF I sent them an LOI. I did and I did not match at that program. Another second look occurred a few days before match list deadline and the Chair called a few of us (we the applicants kept up with each other) and made statements that were very clearly along the lines of we will rank you to match if you tell us you’re coming here. Post interview communications of any sort should be prohibited, including notes, phone calls, etc… If second looks happen, honestly that’s helpful but if and only if the program’s list is OFFICIALLY sealed. Thanks again for your efforts!"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 09:21:08,2023-03-23 09:28:00,0,100,412,1,2023-03-23 09:28:01,R_Abzkvlkg7LsNHA5,,,,,26.348,-80.1498,anonymous,EN,1,93,30,2,2,1,2,4,4,3,4,2,4,2,9,4,1,8,2,2,4,1,5,2,3,2,2,5,3,4,"For the applicants, especially those from smaller medical schools without home programs, it can be nice to let certain programs know that you actually want to end up there. The issue is that people from every school do this and they all lose meaning."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 09:43:11,2023-03-23 09:48:50,0,100,338,1,2023-03-23 09:48:51,R_3fNy4iyeKiTxKaF,,,,,39.7647,-89.7379,anonymous,EN,0.8999999761581420,100,48,1,2,1,2,5,5,5,5,1,4,2,8,4,1,1,3,3,3,3,4,2,4,4,4,5,3,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 09:52:11,2023-03-23 09:54:53,0,100,162,1,2023-03-23 09:54:54,R_6sMFlEoK5K8FJBv,,,,,32.4736,-93.8039,anonymous,EN,1,74,12,1,1,1,1,5,3,2,3,2,5,3,5,5,1,2,4,4,2,2,5,1,5,4,3,4,3,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 09:55:58,2023-03-23 09:58:37,0,100,158,1,2023-03-23 09:58:37,R_2EsYFX6nDwqmZ6Y,,,,,41.182,-104.8093,anonymous,EN,0.800000011920929,100,15,2,3,1,2,5,5,3,3,1,4,1,4,4,1,2,5,4,2,1,5,2,3,5,4,3,2,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 09:58:40,2023-03-23 10:10:45,0,100,724,1,2023-03-23 10:10:45,R_1IrRGZYdgGnpItd,,,,,42.6552,-73.802,anonymous,EN,0.8999999761581420,100,7,3,2,1,1,5,5,2,2,2,5,2,2,5,1,2,5,5,2,2,5,1,2,4,5,2,3,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 10:17:00,2023-03-23 10:22:17,0,100,316,1,2023-03-23 10:22:17,R_1q9cafSOgRYUsEz,,,,,37.353,-79.1557,anonymous,EN,1,100,16,1,2,2,2,3,4,4,5,1,5,2,8,5,1,8,2,2,4,3,4,1,5,5,4,5,3,4,Post interview communication preferences should be clearly stated by each program for all applicants to be aware.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 10:18:30,2023-03-23 10:23:07,0,100,277,1,2023-03-23 10:23:08,R_3fitGDueVfsV1PC,,,,,33.5038,-112.0253,anonymous,EN,0.8999999761581420,80,10,3,3,1,2,5,5,2,5,2,5,1,3,4,1,3,2,5,1,1,5,5,5,5,4,5,3,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 10:21:09,2023-03-23 10:23:39,0,100,149,1,2023-03-23 10:23:39,R_27rpVxClsSFlAP8,,,,,41.2612,-95.9354,anonymous,EN,0.8999999761581420,80,15,2,2,1,2,5,5,1,5,1,4,1,4,5,2,0,4,4,2,2,4,2,3,5,2,5,3,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 11:34:00,2023-03-23 11:37:38,0,100,217,1,2023-03-23 11:37:39,R_9MLR4GUx2WAX1GF,,,,,29.7545,-95.4093,anonymous,EN,0.8999999761581420,78,13,1,2,1,2,5,2,1,1,1,1,2,5,4,1,5,2,4,2,2,5,3,1,4,5,4,1,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 13:14:06,2023-03-23 13:20:00,0,100,353,1,2023-03-23 13:20:00,R_2DNSceS4iDR2uns,,,,,39.7318,-104.9669,anonymous,EN,1,100,22,2,1,1,2,4,5,3,2,1,2,4,7,4,1,3,4,4,2,2,4,1,5,4,5,2,3,2,"Post-interview communication was stressful but it also gave me some feeling of control in a process where you feel like you have no control. I liked that I was able to send letters to programs that I was interested in. A suggestion would be a formalized process for how schools respond to those (not at all, standardized response) and publicizing that so the student isn't left to wonder and try to interpret each word a PD types. "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 13:22:43,2023-03-23 13:29:27,0,100,403,1,2023-03-23 13:29:28,R_1i9A4LnF9M18ItY,,,,,39.7436,-86.1158,anonymous,EN,1,90,28,2,2,1,2,4,5,2,3,2,2,4,25,4,1,15,3,3,4,4,4,1,5,2,3,4,3,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 20:32:44,2023-03-23 20:40:20,0,100,456,1,2023-03-23 20:40:20,R_1fadDsaQI05b2oJ,,,,,38.0271,-78.4797,anonymous,EN,0.8999999761581420,71,22,1,2,1,1,2,1,1,5,3,1,1,10,5,1,3,1,1,3,4,5,1,5,1,5,1,3,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 13:57:20,2023-03-23 21:18:31,0,100,26470,1,2023-03-23 21:18:31,R_3XmGEoi2BdfOUj7,,,,,36.1671,-86.7861,anonymous,EN,0.8999999761581420,53,16,1,1,1,1,4,4,3,3,1,2,3,12,4,1,6,4,4,2,2,4,2,3,4,4,,3,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-24 06:42:29,2023-03-24 06:47:09,0,100,279,1,2023-03-24 06:47:09,R_2EzLDq7Tph7L1pq,,,,,39.9597,-75.1995,anonymous,EN,0.8999999761581420,60,24,3,3,1,2,5,5,3,4,1,3,3,22,4,1,15,5,5,2,1,5,2,3,5,4,5,3,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-24 08:55:29,2023-03-24 08:59:48,0,100,258,1,2023-03-24 08:59:48,R_D0mtv2lUst6w3Id,,,,,39.9544,-75.1657,anonymous,EN,0.8999999761581420,47,22,1,2,1,1,5,5,4,4,2,4,2,7,4,1,6,4,4,1,1,5,1,5,5,4,5,3,2,There needs to be universal guidelines for post-interview communication. 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-24 12:20:34,2023-03-24 12:23:41,0,100,187,1,2023-03-24 12:23:42,R_3fZXBU1fH4ILL6N,,,,,39.9452,-82.9738,anonymous,EN,1,86,10,1,2,2,2,5,5,3,5,1,4,5,5,3,1,3,3,5,2,2,5,1,4,4,5,4,3,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-24 12:54:52,2023-03-24 12:57:11,0,100,138,1,2023-03-24 12:57:12,R_1nTw1houvGxOpxn,,,,,38.0321,-78.489,anonymous,EN,0.8999999761581420,60,27,2,1,1,2,5,4,3,3,2,4,2,,4,1,10,4,3,3,2,4,5,3,5,5,4,2,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-24 17:47:06,2023-03-24 17:54:32,0,100,445,1,2023-03-24 17:54:32,R_b2XmHSaR1VD0kh3,,,,,44.9036,-123.0461,anonymous,EN,1,,10,2,2,1,2,4,5,1,4,1,4,2,2,5,1,2,2,1,4,3,4,1,1,5,3,5,3,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-25 15:15:06,2023-03-25 15:18:17,0,100,191,1,2023-03-25 15:18:17,R_1gNGaCaImaHxl5o,,,,,38.6433,-90.2575,anonymous,EN,1,87,30,2,2,1,2,5,5,2,3,3,3,4,1,5,1,1,5,4,2,2,4,1,4,4,4,3,3,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-26 13:36:55,2023-03-26 13:40:02,0,100,187,1,2023-03-26 13:40:02,R_4I4oYKmVOOrqDKx,,,,,29.8097,-82.4675,anonymous,EN,0.8999999761581420,55,24,2,3,1,2,5,5,3,3,1,4,3,6,5,1,5,4,4,2,2,5,3,4,5,4,5,3,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-27 18:30:04,2023-03-27 18:36:09,0,100,365,1,2023-03-27 18:36:09,R_ysFjFB9uGKEHZzH,,,,,32.4699,-90.1102,anonymous,EN,1,94,22,1,1,1,2,4,5,1,3,2,5,3,10,4,1,5,4,4,3,2,4,4,4,4,2,3,2,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-28 11:09:17,2023-03-28 11:15:37,0,100,379,1,2023-03-28 11:15:38,R_qUFWFZHkkVv0VAl,,,,,40.916,-73.0497,anonymous,EN,1,100,34,2,2,1,1,2,4,1,2,2,2,2,10,4,1,7,4,4,2,2,5,2,4,5,3,5,3,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 08:52:36,2023-03-23 08:53:56,0,47,79,0,2023-03-30 08:53:56,R_PU1qzgVmioP6YFz,,,,,,,anonymous,EN,1,93,11,2,2,1,1,5,3,3,4,3,3,1,2,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-30 09:52:31,2023-03-30 09:57:32,0,100,300,1,2023-03-30 09:57:32,R_2QE5UV6TKiyonf0,,,,,42.4607,-83.4582,anonymous,EN,1,54,12,1,2,1,1,5,2,2,2,3,4,3,2,4,1,2,5,4,1,1,4,1,5,5,4,4,2,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-30 10:05:23,2023-03-30 10:10:28,0,100,305,1,2023-03-30 10:10:28,R_3rNX7jtq47j515f,,,,,41.4722,-81.745,anonymous,EN,0.8999999761581420,65,25,3,2,1,1,5,5,4,5,3,4,1,10,2,1,8,5,5,1,1,5,5,4,5,5,5,3,5,You should not require students to do a second look or you won’t rank them. I believe that is a match violation.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-30 10:34:17,2023-03-30 10:38:03,0,100,226,1,2023-03-30 10:38:04,R_2f9WSRLF4YCFgVq,,,,,34.111,-84.3025,anonymous,EN,0.8999999761581420,100,26,2,1,1,2,1,1,1,2,3,1,3,3,5,1,3,1,1,5,3,1,2,5,4,2,4,4,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-30 11:34:10,2023-03-30 11:39:12,0,100,301,1,2023-03-30 11:39:12,R_QcAI8UdaZBP847L,,,,,45.6435,-122.6247,anonymous,EN,0.8999999761581420,100,1,2,2,1,2,5,5,3,2,2,4,4,1,5,2,1,1,3,4,3,2,1,3,5,5,1,4,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-30 12:35:04,2023-03-30 12:43:24,0,100,500,1,2023-03-30 12:43:25,R_z6hUMc0Pr2HPlS1,,,,,33.8231,-84.3258,anonymous,EN,1,84,14,2,3,1,2,2,4,1,4,3,1,1,7,5,1,2,1,1,5,2,5,2,1,5,3,4,3,3,"Overall, there are many issues inherent to post-interview letters of intent. I strongly believe that it should be appropriate and possible to communicate to your #1 choice program that they are, indeed, at the top of your list. However, without a way for programs to discern which of these letters are given in good faith to just one program, I see an issue with them being able to believe it/make meaningful use of it. If there was a structured way to do this (similar to program signaling on the ERAS supplemental app), I would think this would benefit both applicants and programs."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-30 12:53:09,2023-03-30 12:56:12,0,100,182,1,2023-03-30 12:56:12,R_WiIVRNFNCIBMYKt,,,,,33.1371,-96.7488,anonymous,EN,1,60,16,2,2,1,2,5,3,3,3,2,3,3,3,5,1,1,3,3,4,4,5,2,3,4,4,3,4,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-30 14:11:17,2023-03-30 14:15:06,0,100,229,1,2023-03-30 14:15:07,R_RaFHNQDolcT82eB,,,,,42.9767,-78.7959,anonymous,EN,0.8999999761581420,75,25,3,2,1,1,5,5,1,4,3,2,2,10,5,1,5,2,4,2,1,2,1,5,3,4,4,3,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-30 18:01:34,2023-03-30 18:04:24,0,100,170,1,2023-03-30 18:04:24,R_2c7pVR2BIBFcubC,,,,,35.6837,139.6805,anonymous,EN,0.800000011920929,77,18,1,1,1,2,5,4,2,5,3,3,1,3,4,1,2,5,5,1,2,5,1,5,1,1,5,3,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 20:14:36,2023-03-23 20:15:45,0,13,69,0,2023-03-30 20:15:47,R_1F5Gtyc7ptXyga5,,,,,,,anonymous,EN,1,62,17,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31 09:28:33,2023-03-31 09:31:03,0,100,150,1,2023-03-31 09:31:04,R_TvkZjn8MTkClt8B,,,,,40.4295,-80.0152,anonymous,EN,0.8999999761581420,70,30,2,2,1,1,4,4,4,4,2,5,2,25,4,1,26,4,4,2,2,4,4,4,3,5,3,3,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-24 10:53:27,2023-03-24 10:55:40,0,47,132,0,2023-03-31 10:55:43,R_3nMZNjZroQecaYw,,,,,,,anonymous,EN,1,100,17,2,2,1,2,4,4,3,4,2,5,3,3,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31 14:28:11,2023-03-31 14:38:09,0,100,598,1,2023-03-31 14:38:10,R_2QXQSj801LEI6qG,,,,,40.5928,-76.1373,anonymous,EN,1,100,16,1,3,1,1,4,3,3,3,1,5,1,4,5,1,4,1,4,2,3,4,2,4,5,5,5,1,2,Thank you letters felt disingenuous after a 20 minute meeting. Sending a letter to your top program explaining why you were ranking them first felt more genuine.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
