StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1_1,Q2_1,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14_1,Q15,Q16,Q20_1,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 08:22:07,2023-03-23 08:26:09,IP Address,100,241,TRUE,2023-03-23 08:26:09,R_33lHjDMfpPH4ZZh,,,,,33.513,-86.7372,anonymous,EN,1,70,13,More inclined to attend,More inclined,Yes,Yes,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Programs that I liked,Somewhat agree,Somewhat disagree,7,All,Yes,7,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Letters of intent/interest,Somewhat agree,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 08:37:00,2023-03-23 08:39:53,IP Address,100,173,TRUE,2023-03-23 08:39:54,R_Q3xJv9fzfdN3bA5,,,,,36.1671,-86.7861,anonymous,EN,1,100,14,More inclined to attend,More inclined,No,No,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,All Programs,Strongly agree,Somewhat disagree,4,Most,Yes,2,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Letters of intent/interest,Strongly agree,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 08:36:46,2023-03-23 08:44:51,IP Address,100,485,TRUE,2023-03-23 08:44:52,R_1NxfRA90AY3xMIM,,,,,39.9357,-75.1832,anonymous,EN,1,53,23,Neutral,More inclined,Yes,No,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly agree,All Programs,Strongly agree,Strongly agree,10,Most,Yes,10,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Thank you notes,Somewhat disagree,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 08:41:48,2023-03-23 08:45:27,IP Address,100,219,TRUE,2023-03-23 08:45:28,R_3MLI0WgEobU7Ypn,,,,,28.6344,-81.6221,anonymous,EN,0.8999999761581420,100,25,Less inclined to attend,Less inclined,Yes,No,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,I did not send any thank you notes,Somewhat agree,Strongly agree,10,Most,Yes,10,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly agree,Second looks,Strongly agree,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 08:42:29,2023-03-23 08:45:39,IP Address,100,190,TRUE,2023-03-23 08:45:40,R_1PbkOV3Z770YnQC,,,,,32.7797,-96.8022,anonymous,EN,0.8999999761581420,88,17,Neutral,Neutral,Yes,No,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Programs that I liked,Strongly agree,Neither agree nor disagree,6,Most,Yes,0,Somewhat disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat disagree,None caused stress,Somewhat disagree,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 08:40:25,2023-03-23 08:47:23,IP Address,100,417,TRUE,2023-03-23 08:47:23,R_24D8Ce2vYOinJAj,,,,,39.9597,-75.1995,anonymous,EN,1,89,9,More inclined to attend,Neutral,Yes,Yes,Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,I did not send any thank you notes,Somewhat agree,Strongly agree,3,Most,Yes,2,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Letters of intent/interest,Strongly agree,"There's no formal guarantee that programs have finalized rank lists since the due date is the same for both applicants and programs. If programs were forced to submit rank lists earlier and have them finalized, it would make post-interview communication much more streamlined."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 08:42:39,2023-03-23 08:47:51,IP Address,100,312,TRUE,2023-03-23 08:47:52,R_217A7lWHHssbcag,,,,,39.9597,-75.1995,anonymous,EN,1,100,20,More inclined to attend,Neutral,No,No,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,All Programs,Neither agree nor disagree,Strongly disagree,5,All,Yes,5,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Letters of intent/interest,Somewhat agree,"I think programs should avoid ""rank to match"" phone calls/emails, etc. because some programs are not entirely truthful. I had received a RTM call with language implying I was at the top of a program's list and ranked them number 1 and did not match there. The whole process of post-interview communication needs to be standardized with strict guidelines because too many programs do too many different things and it makes decision making even harder during the toughest time of our medical career."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 08:47:10,2023-03-23 08:49:43,IP Address,100,152,TRUE,2023-03-23 08:49:43,R_30pICs0sgf9sI95,,,,,29.9353,-90.074,anonymous,EN,1,93,11,Neutral,More inclined,Yes,Yes,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,I did not send any thank you notes,Strongly agree,Strongly agree,4,All,Yes,4,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Letters of intent/interest,Strongly agree,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 08:41:56,2023-03-23 08:50:45,IP Address,100,529,TRUE,2023-03-23 08:50:46,R_2aLjM6KqOKF8zOA,,,,,38.0152,-84.4894,anonymous,EN,0.800000011920929,50,8,Neutral,Neutral,No,No,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,I did not send any thank you notes,Somewhat agree,Somewhat agree,3,Most,Yes,4,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Letters of intent/interest,Strongly agree,"A set of standardized definitions for post-interview communication, especially what constitutes “rank to match” communication, would reduce stress associated with communication "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 08:47:51,2023-03-23 08:51:03,IP Address,100,192,TRUE,2023-03-23 08:51:04,R_z7iikNpcJhBwWBP,,,,,40.7428,-73.9712,anonymous,EN,0.8999999761581420,100,13,More inclined to attend,More inclined,Yes,No,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Programs that I liked,Neither agree nor disagree,Somewhat disagree,4,All,Yes,4,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat Agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Letters of intent/interest,Somewhat agree,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 08:48:35,2023-03-23 08:51:41,IP Address,100,185,TRUE,2023-03-23 08:51:41,R_1CgtauBiGyepyIH,,,,,42.3562,-71.0631,anonymous,EN,0.8999999761581420,85,14,Neutral,Neutral,Yes,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Programs that I liked,Strongly agree,Strongly agree,9,Most,Yes,2,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly agree,,,,Letters of intent/interest,Somewhat agree,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 08:55:12,2023-03-23 09:03:38,IP Address,100,506,TRUE,2023-03-23 09:03:39,R_2D8fuCt9sdx7YM0,,,,,43.0158,-85.6331,anonymous,EN,1,78,20,Neutral,Neutral,No,No,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Programs that I liked,Somewhat disagree,Somewhat disagree,10,All,Yes,2,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat Agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Letters of intent/interest,Strongly disagree,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 09:03:54,2023-03-23 09:07:19,IP Address,100,204,TRUE,2023-03-23 09:07:19,R_1ptW2g7KQX6YsRA,,,,,43.5376,-96.6818,anonymous,EN,0.8999999761581420,95,13,More inclined to attend,Neutral,Yes,Yes,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat disagree,I did not send any thank you notes,Strongly disagree,Somewhat agree,5,Most,No,0,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Second looks,Strongly disagree,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 09:13:32,2023-03-23 09:18:04,IP Address,100,272,TRUE,2023-03-23 09:18:05,R_3JaAzaV7N6wRVqa,,,,,45.5334,12.6434,anonymous,EN,0.8999999761581420,50,19,Less inclined to attend,Neutral,Yes,No,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,All Programs,Somewhat agree,Somewhat disagree,3,Few,Yes,1,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat Agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Letters of intent/interest,Somewhat disagree,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 09:21:48,2023-03-23 09:24:45,IP Address,100,176,TRUE,2023-03-23 09:24:45,R_3g7d96URrI4jfJN,,,,,33.3874,-112.0998,anonymous,EN,1,69,26,Less inclined to attend,Neutral,Yes,Yes,Strongly agree,Somewhat agree,Strongly disagree,Somewhat disagree,All Programs,Strongly agree,Neither agree nor disagree,10,Most,Yes,10,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Thank you notes,Somewhat agree,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 09:20:48,2023-03-23 09:27:36,IP Address,100,408,TRUE,2023-03-23 09:27:37,R_27sccv9x7qJKuTm,,,,,32.7889,-96.8021,anonymous,EN,0.8999999761581420,80,25,Less inclined to attend,Neutral,Yes,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Programs that I liked,Strongly agree,Strongly agree,6,All,Yes,3,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Letters of intent/interest,Strongly agree,"Thanks for doing this study. The TRUTH is that lots of PDs and Chairs talk a big game about honesty and integrity but make match violations left and right. I had a PD during an interview tell me I’ll be ranked to match IF I sent them an LOI. I did and I did not match at that program. Another second look occurred a few days before match list deadline and the Chair called a few of us (we the applicants kept up with each other) and made statements that were very clearly along the lines of we will rank you to match if you tell us you’re coming here. Post interview communications of any sort should be prohibited, including notes, phone calls, etc… If second looks happen, honestly that’s helpful but if and only if the program’s list is OFFICIALLY sealed. Thanks again for your efforts!"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 09:21:08,2023-03-23 09:28:00,IP Address,100,412,TRUE,2023-03-23 09:28:01,R_Abzkvlkg7LsNHA5,,,,,26.348,-80.1498,anonymous,EN,1,93,30,Neutral,Neutral,Yes,Yes,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,All Programs,Somewhat agree,Somewhat agree,9,Most,Yes,8,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Letters of intent/interest,Somewhat agree,"For the applicants, especially those from smaller medical schools without home programs, it can be nice to let certain programs know that you actually want to end up there. The issue is that people from every school do this and they all lose meaning."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 09:43:11,2023-03-23 09:48:50,IP Address,100,338,TRUE,2023-03-23 09:48:51,R_3fNy4iyeKiTxKaF,,,,,39.7647,-89.7379,anonymous,EN,0.8999999761581420,100,48,More inclined to attend,Neutral,Yes,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Programs that I liked,Somewhat agree,Somewhat agree,8,Most,Yes,1,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Letters of intent/interest,Somewhat agree,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 09:52:11,2023-03-23 09:54:53,IP Address,100,162,TRUE,2023-03-23 09:54:54,R_6sMFlEoK5K8FJBv,,,,,32.4736,-93.8039,anonymous,EN,1,74,12,More inclined to attend,More inclined,Yes,No,Strongly agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,All Programs,Strongly agree,Neither agree nor disagree,5,All,Yes,2,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Letters of intent/interest,Neither agree nor disagree,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 09:55:58,2023-03-23 09:58:37,IP Address,100,158,TRUE,2023-03-23 09:58:37,R_2EsYFX6nDwqmZ6Y,,,,,41.182,-104.8093,anonymous,EN,0.800000011920929,100,15,Neutral,Less inclined,Yes,Yes,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Programs that I liked,Somewhat agree,Strongly agree,4,Most,Yes,2,Strongly agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Second looks,Somewhat disagree,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 09:58:40,2023-03-23 10:10:45,IP Address,100,724,TRUE,2023-03-23 10:10:45,R_1IrRGZYdgGnpItd,,,,,42.6552,-73.802,anonymous,EN,0.8999999761581420,100,7,Less inclined to attend,Neutral,Yes,No,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,All Programs,Strongly agree,Somewhat agree,2,All,Yes,2,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Letters of intent/interest,Strongly disagree,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 10:17:00,2023-03-23 10:22:17,IP Address,100,316,TRUE,2023-03-23 10:22:17,R_1q9cafSOgRYUsEz,,,,,37.353,-79.1557,anonymous,EN,1,100,16,More inclined to attend,Neutral,No,Yes,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Programs that I liked,Strongly agree,Somewhat agree,8,All,Yes,8,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat Agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Letters of intent/interest,Somewhat agree,Post interview communication preferences should be clearly stated by each program for all applicants to be aware.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 10:18:30,2023-03-23 10:23:07,IP Address,100,277,TRUE,2023-03-23 10:23:08,R_3fitGDueVfsV1PC,,,,,33.5038,-112.0253,anonymous,EN,0.8999999761581420,80,10,Less inclined to attend,Less inclined,Yes,Yes,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,All Programs,Strongly agree,Strongly agree,3,Most,Yes,3,Somewhat disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Letters of intent/interest,Strongly agree,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 10:21:09,2023-03-23 10:23:39,IP Address,100,149,TRUE,2023-03-23 10:23:39,R_27rpVxClsSFlAP8,,,,,41.2612,-95.9354,anonymous,EN,0.8999999761581420,80,15,Neutral,Neutral,Yes,Yes,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Programs that I liked,Somewhat agree,Strongly agree,4,All,No,0,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat Agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Strongly agree,Letters of intent/interest,Strongly agree,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 11:34:00,2023-03-23 11:37:38,IP Address,100,217,TRUE,2023-03-23 11:37:39,R_9MLR4GUx2WAX1GF,,,,,29.7545,-95.4093,anonymous,EN,0.8999999761581420,78,13,More inclined to attend,Neutral,Yes,Yes,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Programs that I liked,Strongly disagree,Somewhat agree,5,Most,Yes,5,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Thank you notes,Somewhat disagree,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 13:14:06,2023-03-23 13:20:00,IP Address,100,353,TRUE,2023-03-23 13:20:00,R_2DNSceS4iDR2uns,,,,,39.7318,-104.9669,anonymous,EN,1,100,22,Neutral,More inclined,Yes,Yes,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Programs that I liked,Somewhat disagree,Somewhat disagree,7,Most,Yes,3,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat Agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Letters of intent/interest,Somewhat disagree,"Post-interview communication was stressful but it also gave me some feeling of control in a process where you feel like you have no control. I liked that I was able to send letters to programs that I was interested in. A suggestion would be a formalized process for how schools respond to those (not at all, standardized response) and publicizing that so the student isn't left to wonder and try to interpret each word a PD types. "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 13:22:43,2023-03-23 13:29:27,IP Address,100,403,TRUE,2023-03-23 13:29:28,R_1i9A4LnF9M18ItY,,,,,39.7436,-86.1158,anonymous,EN,1,90,28,Neutral,Neutral,Yes,Yes,Somewhat agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,All Programs,Somewhat disagree,Somewhat disagree,25,Most,Yes,15,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat Agree,Strongly disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Letters of intent/interest,Somewhat disagree,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 20:32:44,2023-03-23 20:40:20,IP Address,100,456,TRUE,2023-03-23 20:40:20,R_1fadDsaQI05b2oJ,,,,,38.0271,-78.4797,anonymous,EN,0.8999999761581420,71,22,More inclined to attend,Neutral,Yes,No,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,I did not send any thank you notes,Strongly disagree,Strongly agree,10,All,Yes,3,Strongly disagree,Strongly Disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Letters of intent/interest,Strongly agree,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23 13:57:20,2023-03-23 21:18:31,IP Address,100,26470,TRUE,2023-03-23 21:18:31,R_3XmGEoi2BdfOUj7,,,,,36.1671,-86.7861,anonymous,EN,0.8999999761581420,53,16,More inclined to attend,More inclined,Yes,No,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Programs that I liked,Somewhat disagree,Neither agree nor disagree,12,Most,Yes,6,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat Agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,,Letters of intent/interest,Somewhat disagree,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
